date,usage_kwh,day_of_week,weekend,holiday,vacation,exam_period,temp_c,humidity_pct,wind_dir_deg,wind_speed_ms,pressure_local_hpa,pressure_sea_hpa,solar_rad_mj_m2,sunshine_sec,precip_mm,strong_wind_warning,strong_wind_advisory,dry_advisory,heavy_snow_warning,heavy_snow_advisory,tropical_night,typhoon_warning,typhoon_advisory,heat_wave_warning,heat_wave_advisory,cold_wave_warning,cold_wave_advisory,heavy_rain_warning,heavy_rain_advisory,yellow_dust_warning,obs_minutes
2021-09-03,235298.88,Friday,0,0,0,0,24.549166666666668,66.13368055555556,72.87402418939351,1.649513888888889,1005.0109722222222,1009.5525,18.75,35100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-04,207972.0,Saturday,1,0,0,0,23.59041000694927,60.55239749826268,85.82181615294277,2.2288394718554554,1010.4700486448922,1015.0395413481584,19.77,33840.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-09-05,199642.32,Sunday,1,1,0,0,23.113472222222224,63.08326388888889,92.18697918909623,2.433472222222222,1013.7513888888889,1018.36875,12.81,14280.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-06,226810.08,Monday,0,0,0,0,21.843055555555555,73.92298611111111,100.02015771683071,3.0600694444444443,1012.4395833333333,1017.0595833333334,8.89,3000.0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-07,230724.0,Tuesday,0,0,0,0,20.497706740792218,99.11382904794998,131.56616383247166,2.3359277275886035,1003.9177901320361,1008.5146629603893,2.29,0.0,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-09-08,234018.0,Wednesday,0,0,0,0,22.04447533009034,85.82119527449618,294.14412430281993,1.8970813064628214,1005.8841556636553,1010.4521195274497,19.04,30120.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
2021-09-09,236088.0,Thursday,0,0,0,0,22.738680555555558,83.84618055555555,211.18669816789034,1.0204861111111112,1009.3794444444444,1013.9552777777778,18.82,30540.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-10,239811.84,Friday,0,0,0,0,23.495069444444447,85.03416666666666,277.8116170019024,1.2392361111111112,1008.9077083333334,1013.4810416666667,16.29,29040.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
2021-09-11,217079.28,Saturday,1,0,0,0,23.786768802228416,81.7633704735376,275.88843345755964,1.3213937282229966,1008.4669916434541,1013.0288300835654,20.7,34080.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436
2021-09-12,208528.56,Sunday,1,1,0,0,23.79235580264072,78.78102849200833,295.64673306102736,1.325712300208478,1008.5494788047255,1013.1084086170952,21.31,41400.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439
